 DOF      , 1e-15    , 1e-10    , 1e-5     ,
      288 ,     0.34 ,     0.25 ,     0.14 ,
      600 ,     0.78 ,     0.58 ,     0.33 ,
     1080 ,     1.99 ,     1.50 ,     0.83 ,
     1764 ,     5.25 ,     4.11 ,     2.44 ,
     2688 ,    16.28 ,    12.53 ,     6.81 ,
     3888 ,    36.42 ,    29.28 ,    16.11 ,
     5400 ,    79.77 ,    62.62 ,    36.00 ,
     7260 ,   155.56 ,   123.56 ,    71.00 ,
     9504 ,   287.11 ,   227.62 ,   101.14 ,
    12168 ,   501.12 ,   393.78 ,   225.33 ,
    15288 ,   855.95 ,   667.02 ,   364.36 ,
    18900 ,  1399.08 ,  1136.72 ,   690.70 ,
    23040 ,  2347.72 ,  1659.89 ,   783.61 ,
